"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"138","MEINH6","MEINH5",-0.437700249476815,0.661603588629065,0.977693456590577,"",NA,"SCINH4","SCINH3"
"139","MEINH7","MEINH5",-1.02234314922334,0.306618517580538,0.87992861900656,"",NA,"SCINH5","SCINH3"
"140","MEINH8","MEINH5",0.70393709165451,0.481471951070556,0.955479220729165,"",NA,"SCINH6","SCINH3"
"141","MEINH9","MEINH5",-0.0916332053708265,0.926989468355985,0.977693456590577,"",NA,"SCINH7","SCINH3"
"142","MEINH10","MEINH5",-0.438142778105337,0.661282785966982,0.977693456590577,"",NA,"SCINH8","SCINH3"
"143","MEINH11","MEINH5",-0.76091427098841,0.446708274034565,0.945101802916105,"",NA,"SCINH9","SCINH3"
"144","MEINH12","MEINH5",-0.431475415512394,0.666122724584636,0.977693456590577,"",NA,"SCINH10","SCINH3"
"145","MEGLU1","MEINH6",0.157162283515156,0.875116952246278,0.977693456590577,"",NA,"SCEXC1","SCINH4"
"146","MEGLU2","MEINH6",0.503921570298812,0.614316492049131,0.977693456590577,"",NA,"SCEXC2","SCINH4"
"147","MEGLU3","MEINH6",-0.130297301933292,0.896331214618963,0.977693456590577,"",NA,"SCEXC3","SCINH4"
"148","MEGLU4","MEINH6",0.62232288652714,0.53372957505954,0.977693456590577,"",NA,"SCEXC4","SCINH4"
"149","MEGLU5","MEINH6",-0.730912764180922,0.464832439012644,0.955479220729165,"",NA,"SCEXC5","SCINH4"
"150","MEGLU6","MEINH6",0.546496035161064,0.584725012381593,0.977693456590577,"",NA,"SCEXC6","SCINH4"
"151","MEINH2","MEINH6",-0.460573915086493,0.645104329790628,0.977693456590577,"",NA,"SCINH1","SCINH4"
"152","MEINH3","MEINH6",-0.969023881555856,0.332533273881143,0.87992861900656,"",NA,"SCINH2","SCINH4"
"153","MEINH5","MEINH6",-0.437700249476815,0.661603588629065,0.977693456590577,"",NA,"SCINH3","SCINH4"
"154","MEINH6","MEINH6",-0.927292841641453,0.35377450998016,0.87992861900656,"",NA,"SCINH4","SCINH4"
"155","MEINH7","MEINH6",2.56324351943337,0.0103699286503085,0.663675433619745,"",NA,"SCINH5","SCINH4"
"156","MEINH8","MEINH6",-0.596561451422379,0.55080021452436,0.977693456590577,"",NA,"SCINH6","SCINH4"
"157","MEINH9","MEINH6",0.0767348653227073,0.938834467783165,0.977693456590577,"",NA,"SCINH7","SCINH4"
"158","MEINH10","MEINH6",-0.316626500518313,0.751527025100778,0.977693456590577,"",NA,"SCINH8","SCINH4"
"159","MEINH11","MEINH6",3.06094136157902,0.00220642301231123,0.282422145575837,"",NA,"SCINH9","SCINH4"
"160","MEINH12","MEINH6",0.71070952873344,0.47726425366261,0.955479220729165,"",NA,"SCINH10","SCINH4"
"161","MEGLU1","MEINH7",-1.49638369043725,0.134553697214724,0.87992861900656,"",NA,"SCEXC1","SCINH5"
"162","MEGLU2","MEINH7",-0.115827192956401,0.907789498696764,0.977693456590577,"",NA,"SCEXC2","SCINH5"
"163","MEGLU3","MEINH7",0.44250106174164,0.658126662160192,0.977693456590577,"",NA,"SCEXC3","SCINH5"
"164","MEGLU4","MEINH7",-0.358867419141515,0.719694274061971,0.977693456590577,"",NA,"SCEXC4","SCINH5"
"165","MEGLU5","MEINH7",0.87195049281322,0.383235386171065,0.87992861900656,"",NA,"SCEXC5","SCINH5"
"166","MEGLU6","MEINH7",1.47658423616697,0.139787119881672,0.87992861900656,"",NA,"SCEXC6","SCINH5"
"167","MEINH2","MEINH7",-0.00619205296099472,0.995059488113891,0.995059488113891,"",NA,"SCINH1","SCINH5"
"168","MEINH3","MEINH7",-0.253229814747337,0.800090628332578,0.977693456590577,"",NA,"SCINH2","SCINH5"
"169","MEINH5","MEINH7",-1.02234314922334,0.306618517580538,0.87992861900656,"",NA,"SCINH3","SCINH5"
"170","MEINH6","MEINH7",2.56324351943337,0.0103699286503085,0.663675433619745,"",NA,"SCINH4","SCINH5"
"171","MEINH7","MEINH7",0.334886983409772,0.737710341467727,0.977693456590577,"",NA,"SCINH5","SCINH5"
"172","MEINH8","MEINH7",0.426492881632713,0.669748733881469,0.977693456590577,"",NA,"SCINH6","SCINH5"
"173","MEINH9","MEINH7",1.43870218041198,0.150234921309987,0.87992861900656,"",NA,"SCINH7","SCINH5"
"174","MEINH10","MEINH7",-0.0251361786170715,0.97994634292801,0.987662455864451,"",NA,"SCINH8","SCINH5"
