"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"3010001F23Rik",0.0096268973384522,0.773382236367997,0.471,0.212,1,"MEGLU4","3010001F23Rik"
"Gm37728",0.00965045969058543,0.927025183212225,0.412,0.186,1,"MEGLU4","Gm37728"
"Angel2",0.00965624329239651,0.680865964909857,0.706,0.449,1,"MEGLU4","Angel2"
"Epha6",0.00971841197888445,0.347664607615699,1,0.996,1,"MEGLU4","Epha6"
"Cd200r1",0.0097238858971507,0.501958239004648,0.176,0.038,1,"MEGLU4","Cd200r1"
"Gm37233",0.0097238858971507,0.380711723913682,0.176,0.038,1,"MEGLU4","Gm37233"
"Cd28",0.00972680158133387,0.635629325017054,0.235,0.068,1,"MEGLU4","Cd28"
"D630008O14Rik",0.00975496320066723,0.771649716819422,0.353,0.127,1,"MEGLU4","D630008O14Rik"
"Vmn2r99",0.00975722495570865,0.351305520752489,0.118,0.017,1,"MEGLU4","Vmn2r99"
"Tuba3b",0.00975722495570865,0.257210345415728,0.118,0.017,1,"MEGLU4","Tuba3b"
"Acat1",0.00977001250509691,0.370156274102428,0.941,0.78,1,"MEGLU4","Acat1"
"Acsl1",0.00977261672979015,0.6611568690909,0.706,0.445,1,"MEGLU4","Acsl1"
"Cenpf",0.00977543273562084,0.387048071008823,0.294,0.093,1,"MEGLU4","Cenpf"
"Gm42640",0.00978450520237729,0.745528588569202,0.235,0.064,1,"MEGLU4","Gm42640"
"Ptprr",0.00979512075227648,0.596843403172864,0.824,0.733,1,"MEGLU4","Ptprr"
"Epb41l4b",0.00983862986232297,0.528994315625701,0.824,0.691,1,"MEGLU4","Epb41l4b"
"6330411D24Rik",0.00984721351551992,0.805666582412881,0.824,0.686,1,"MEGLU4","6330411D24Rik"
"Gm43318",0.00984822685805526,0.791073995367303,0.471,0.203,1,"MEGLU4","Gm43318"
"A330041J22Rik",0.00985839069608806,0.909963175540014,0.412,0.174,1,"MEGLU4","A330041J22Rik"
"Lmbr1l",0.00989024875801283,0.835249698980716,0.353,0.131,1,"MEGLU4","Lmbr1l"
"Gm28981",0.00989024875801283,0.503647044284409,0.353,0.131,1,"MEGLU4","Gm28981"
"Matn2",0.00991362655206369,0.701212466997676,0.529,0.254,1,"MEGLU4","Matn2"
"Gm38190",0.00994684506868359,0.790488779428532,0.294,0.102,1,"MEGLU4","Gm38190"
