"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Herc3",1.99313259482505e-18,0.233084097894998,0.286,0.167,3.00584326625565e-14,"Herc3"
"Kif1a",2.46465499759324e-18,0.273106716793858,0.854,0.776,3.71694620187037e-14,"Kif1a"
"Tmem91",2.48976090855413e-18,0.266181730807133,0.575,0.448,3.75480842619048e-14,"Tmem91"
"Tomm5",2.99686207848881e-18,0.273470622604057,0.67,0.566,4.51956770056898e-14,"Tomm5"
"Naa50",3.04914028574334e-18,0.213032102389851,0.337,0.212,4.59840846492953e-14,"Naa50"
"Ccdc136",3.92994063140497e-18,0.207533529686765,0.412,0.277,5.92674346622184e-14,"Ccdc136"
"Syp",4.00097628082036e-18,0.282032384856356,0.919,0.864,6.03387232910519e-14,"Syp"
"Ldhb",4.81972625167439e-18,-0.287649731913493,0.673,0.782,7.26862916015015e-14,"Ldhb"
"Fam213b",5.22054699645204e-18,0.251257960539086,0.517,0.379,7.87310692534933e-14,"Fam213b"
"Mycbp2",5.62942992848415e-18,0.268025200465327,0.763,0.672,8.48974327514695e-14,"Mycbp2"
"Eif2s2",5.75951770509652e-18,0.265061021146622,0.616,0.495,8.68592865105607e-14,"Eif2s2"
"Fbxo9",5.96240089220253e-18,0.256884092565026,0.735,0.634,8.99189678553063e-14,"Fbxo9"
"Pfn2",6.4830524687521e-18,0.279738740444618,0.856,0.792,9.77709142812504e-14,"Pfn2"
"Abat",6.65855268075388e-18,-0.298269433515261,0.501,0.624,1.00417632978449e-13,"Abat"
"Nrip3",6.77754749232052e-18,-0.263814061819985,0.355,0.499,1.02212193731686e-13,"Nrip3"
"Dcun1d4",8.01719582241205e-18,0.235364925768136,0.386,0.26,1.20907330197796e-13,"Dcun1d4"
"Tomm7",8.22623338565832e-18,0.283691388371633,0.763,0.665,1.24059825689113e-13,"Tomm7"
"Ccdc85a",8.33354308129077e-18,0.291159824268845,0.362,0.242,1.25678163208946e-13,"Ccdc85a"
"Rangap1",8.51142830438455e-18,0.272329488806378,0.538,0.413,1.28360850258423e-13,"Rangap1"
"Vstm2l",9.64417352476312e-18,0.271007936478279,0.523,0.385,1.45443780926953e-13,"Vstm2l"
"Kbtbd11",9.81826925690202e-18,0.225544022302204,0.3,0.184,1.48069318663339e-13,"Kbtbd11"
"Sema6b",1.06055321352745e-17,0.206079341748084,0.332,0.21,1.59942030132074e-13,"Sema6b"
"Abr",1.06672584879437e-17,0.264332669935999,0.658,0.548,1.60872925256679e-13,"Abr"
"Cltb",1.12187153875008e-17,0.240454965080376,0.735,0.616,1.69189446758899e-13,"Cltb"
"Dscam",1.18955248259421e-17,-0.205671532423195,0.232,0.369,1.79396409900033e-13,"Dscam"
"Kcnip4",1.33331465792269e-17,0.276391875233671,0.376,0.255,2.01077183561322e-13,"Kcnip4"
"Stmn4",1.43362148572607e-17,-0.315529990881963,0.532,0.651,2.16204456262348e-13,"Stmn4"
"Calm2",1.49193491820399e-17,0.257782223081505,0.971,0.99,2.24998705014344e-13,"Calm2"
"Prpf31",2.13775560404691e-17,0.216582494032955,0.37,0.245,3.22394922646314e-13,"Prpf31"
"Snrpn",2.1398796559764e-17,0.261907491978143,0.964,0.977,3.22715250917802e-13,"Snrpn"
"Cplx1",2.28469804871228e-17,-0.360695779079372,0.531,0.673,3.44555312726299e-13,"Cplx1"
"Rps18",2.36319303356816e-17,0.285712242475147,0.874,0.856,3.56393141392415e-13,"Rps18"
"Serinc1",2.96053538886571e-17,0.282530388210836,0.88,0.824,4.46478341994838e-13,"Serinc1"
"Cadm3",3.13632656957016e-17,0.253769291999665,0.659,0.547,4.72989409956875e-13,"Cadm3"
"Ssbp4",3.1442906480784e-17,0.263137825065944,0.548,0.432,4.74190472636703e-13,"Ssbp4"
"Camk2d",3.25556034880524e-17,0.385400387759749,0.605,0.503,4.90971056203318e-13,"Camk2d"
"Stx4a",3.53398669286694e-17,0.209861527980692,0.391,0.262,5.32960533151263e-13,"Stx4a"
"Rps12",3.65533351821143e-17,0.304395068939354,0.746,0.676,5.51260847881466e-13,"Rps12"
"Rpl22",3.69023320050609e-17,0.222823587402088,0.566,0.441,5.56524068968324e-13,"Rpl22"
"Denr",4.37736009794505e-17,0.254662616766457,0.613,0.499,6.60149676371093e-13,"Denr"
"Eif3m",4.82223874191188e-17,0.249653703804042,0.462,0.336,7.27241824667731e-13,"Eif3m"
"Hspa12a",5.19666599684801e-17,0.232956873545644,0.435,0.302,7.83709198984648e-13,"Hspa12a"
"Hspa4l",5.74597258286475e-17,0.233089648526034,0.727,0.621,8.66550125221833e-13,"Hspa4l"
"Fam134a",5.79868114544772e-17,0.249304312722366,0.52,0.394,8.74499103544971e-13,"Fam134a"
"Eef1b2",5.91785327292866e-17,0.261006069822657,0.67,0.565,8.92471452090371e-13,"Eef1b2"
"Frrs1l",6.51108599296187e-17,0.294509655749419,0.602,0.493,9.8193687859858e-13,"Frrs1l"
"Pcmt1",6.83531492762122e-17,0.232028091607514,0.587,0.463,1.03083384423456e-12,"Pcmt1"
"Slc9a6",6.99073716330631e-17,0.212382460313422,0.33,0.211,1.05427307159822e-12,"Slc9a6"
"Psmb1",7.87596169044463e-17,0.246863639779248,0.773,0.687,1.18777378253595e-12,"Psmb1"
"Spock3",7.98030660660532e-17,0.244630691596439,0.474,0.349,1.20351003934215e-12,"Spock3"
"2700060E02Rik",8.3986474168523e-17,0.24959789918135,0.566,0.448,1.2666000169355e-12,"2700060E02Rik"
"Tubb4b",9.72133289402613e-17,0.207543483735572,0.448,0.314,1.46607421374808e-12,"Tubb4b"
"Gm16286",1.07163223940371e-16,0.237074334426224,0.59,0.477,1.61612858024474e-12,"Gm16286"
"PISD",1.07635367981246e-16,0.245868821479576,0.511,0.382,1.62324898452517e-12,"PISD"
"Ppia",1.31108810214324e-16,0.278090340989477,0.693,0.596,1.97725196684221e-12,"Ppia"
"Cnr1",1.38453453215224e-16,0.205420722317367,0.364,0.237,2.08801652793879e-12,"Cnr1"
"Auts2",1.42227695311095e-16,-0.235785133511024,0.257,0.387,2.14493587298662e-12,"Auts2"
"Scamp1",1.61460641585588e-16,0.268122930538111,0.651,0.536,2.43498793575225e-12,"Scamp1"
"Dzank1",2.22456469994847e-16,0.258350888011361,0.666,0.561,3.35486602399228e-12,"Dzank1"
"Vstm2a",2.77877525374819e-16,0.253217574062654,0.383,0.268,4.19067096017764e-12,"Vstm2a"
"Tubb3",2.81378604557893e-16,0.200556060077237,0.67,0.538,4.24347073533759e-12,"Tubb3"
"Cox17",3.14679385168596e-16,0.270425453713858,0.854,0.814,4.74567980772759e-12,"Cox17"
"Rab6a",3.32157009286319e-16,0.272772893643764,0.756,0.658,5.00925985704697e-12,"Rab6a"
"Slco3a1",3.56665019724185e-16,-0.221171943211623,0.192,0.311,5.37886516246043e-12,"Slco3a1"
"Sh3glb2",3.9236647929028e-16,0.241878643389731,0.44,0.32,5.91727887417671e-12,"Sh3glb2"
"Aatk",4.26846919796936e-16,0.229359892139943,0.532,0.402,6.4372783974576e-12,"Aatk"
"Ntrk2",4.53271006725572e-16,0.254759068835908,0.541,0.422,6.83578005242836e-12,"Ntrk2"
"Ndufb5",4.54786466670647e-16,0.228101646523763,0.88,0.821,6.85863470386002e-12,"Ndufb5"
