"","PatchSeq.p_val","PatchSeq.avg_log2FC","PatchSeq.pct.1","PatchSeq.pct.2","PatchSeq.p_val_adj","gene"
"Gm37781",0.0220852051011207,0.419254867469095,0.12,0.044,1,"Gm37781"
"Tshz1",0.0221779219049859,-0.322749516677267,0.393,0.515,1,"Tshz1"
"Nab1",0.0222033699203341,0.264571136774747,0.487,0.324,1,"Nab1"
"Fcf1",0.0223507217696936,0.331234513378814,0.598,0.463,1,"Fcf1"
"Rnf135",0.0224245434846232,0.356839277686465,0.111,0.037,1,"Rnf135"
"Spef2",0.0224519674960084,0.211150906331643,0.291,0.169,1,"Spef2"
"Bclaf1",0.0225145913719429,0.203932404829917,0.915,0.824,1,"Bclaf1"
"Rnf141",0.0225205220501288,0.309601196328482,0.479,0.324,1,"Rnf141"
"Umad1",0.0226075959683198,0.339718405137135,0.641,0.485,1,"Umad1"
"Cep164",0.0226378306962796,0.371890468794472,0.453,0.324,1,"Cep164"
"Gm47337",0.0226532472084964,0.354360289566813,0.111,0.037,1,"Gm47337"
"Pef1",0.0226636820173358,0.348911280325855,0.658,0.522,1,"Pef1"
"Glt8d1",0.0227005025050881,0.404741788068,0.444,0.309,1,"Glt8d1"
"Ranbp2",0.022704405421992,0.276436321769953,0.667,0.544,1,"Ranbp2"
"Gm24616",0.0227304325763483,0.51604753375226,0.316,0.199,1,"Gm24616"
"Srebf2",0.0227338291265868,0.291232836288976,0.675,0.544,1,"Srebf2"
"Cpne9",0.0227409361619748,0.342342393497895,0.581,0.471,1,"Cpne9"
"Slbp",0.0227544123966398,0.360077944524638,0.564,0.456,1,"Slbp"
"Amer2",0.0228106235025537,0.274733727948847,0.667,0.544,1,"Amer2"
"Prkcd",0.0228192625734106,0.426866233647081,0.239,0.132,1,"Prkcd"
"Mcm7",0.0228661736143911,0.505909798653195,0.248,0.14,1,"Mcm7"
"Ntsr1",0.0228839752615585,0.300907392593278,0.111,0.037,1,"Ntsr1"
